amor love amour amore
alcanzar reach atteindre portata
agacharse bend canard accovacciarsi
agradecido grateful reconnaissant grato
bendecido blessed beni benedetto
besos kisses bisous baci
barba beard barbe barba
bandido bandit bandit. bandito<<<<<
cansado tired fatigue stanco
casa house maison casa.
ciudad city ville citta
cuando when quand quando
detener stop arreter arresto
despues after apres poi
dueno owner proprietaire proprietario
dulce candy douce dolce
educacion education Leducation educazione
edificio building immeuble costruzione
edad age age. eta
electricidad electricity electricite elettricita
familia family famille famiglia
feliz happy heureux felice
falda skirt jupe gonna
fecha date date. data
gato cat chat gatto
gerente manager. manager direttore
gimnasio gym. gym palestra
gordo fat gros gordo
hacer do faire fare
hablar talk parler parlare
hermosa beautiful belle bello
huevo egg oeuf uovo
irse leave quitter congedo
idioma language langage lingua
iglesia church eglise chiesa
igual same egal come
juguete toy jouet giocattolo
joder fuck baiser cazzo
jirafa giraffe girafe giraffa
juntos together ensemble insieme
keratina keratin kératine keratina.
kilometros kilometres kilomtres. chilometri
kilogramos kilograms kilogrammes chilogrammi
kilos kilos kilos chili
largo long long. lungo
ladrillo brick brique mattone
listo ready pret pronto
luego then alors poi
manana morning matin domani
molestar bother derange preoccuparsi
mono monkey singe scimmia
maravilloso wonderful merveilleux meraviglioso
nada nothing rien niente
nadar swim nager nuotata
naranja orange orange. arancione
negocios business entreprise affari
navidad christmas noel natale 
oportunidad opportunity opportunite opportunita
oye hears he sente
ojala hopefully jespere vorrei
opcion option option. opzione
oscuro dark sombre scuro
odio hate deteste odio.
otro other autre altro
paginas pages pages. pagine
palabra word mot parola
perfecto perfect parfait perfetto
piso floor appartement appartement
querido dear cher caro
querer want vouloir desiderare
quien who qui chi
que what quoi che
razon reason raison ragione
regalo present cadeau regalo.
rico rich riche ricco
ropa clothing vetements abbigliamento
siempre always toujours sempre
saludos cheers salutations saluti
solo alone seul solo.
sal salt sortir esci
tambien too aussi anche
todo everything tout tutto
trabado locked verrouille bloccato 
tranquilo quiet calme tranquillo
uvas grapes raisin uva
usted you toi voi
ubicacion location emplacement posizione
universidad college luniversite universita
variedad variety variete varieta
venir come venir. venire
vuelve returns reviens ritorna
varios various plusieurs parecchi
venado deer cerf cervo
vaca cow vache mucca
viuda widow veuve vedova 
zanja ditch fosse fosso
zocalo plinth prise plinto 
yugular jugular jugulaire giugulare
zapatos shoes chaussures scarpe
zafiro sapphire saphir zaffiro
